Date,U.S. Exports of Crude Oil (Thousand Barrels)
2005-01-15,1239
2005-02-15,541
2005-03-15,1111
2005-04-15,1345
2005-05-15,1694
2005-06-15,640
2005-07-15,1058
2005-08-15,531
2005-09-15,727
2005-10-15,530
2005-11-15,1445
2005-12-15,759
2006-01-15,849
2006-02-15,415
2006-03-15,903
2006-04-15,794
2006-05-15,829
2006-06-15,987
2006-07-15,414
2006-08-15,472
2006-09-15,631
2006-10-15,1152
2006-11-15,714
2006-12-15,839
2007-01-15,294
2007-02-15,703
2007-03-15,1047
2007-04-15,573
2007-05-15,1117
2007-06-15,1565
2007-07-15,822
2007-08-15,1307
2007-09-15,1013
2007-10-15,337
2007-11-15,603
2007-12-15,626
2008-01-15,364
2008-02-15,578
2008-03-15,910
2008-04-15,419
2008-05-15,581
2008-06-15,659
2008-07-15,894
2008-08-15,1234
2008-09-15,1173
2008-10-15,1321
2008-11-15,916
2008-12-15,1413
2009-01-15,1122
2009-02-15,833
2009-03-15,943
2009-04-15,799
2009-05-15,1634
2009-06-15,1698
2009-07-15,971
2009-08-15,1091
2009-09-15,1265
2009-10-15,2241
2009-11-15,1365
2009-12-15,2022
2010-01-15,1008
2010-02-15,1621
2010-03-15,1395
2010-04-15,1095
2010-05-15,1121
2010-06-15,937
2010-07-15,2140
2010-08-15,1113
2010-09-15,1838
2010-10-15,728
2010-11-15,953
2010-12-15,1249
2011-01-15,2228
2011-02-15,847
2011-03-15,1126
2011-04-15,1227
2011-05-15,1148
2011-06-15,1066
2011-07-15,2263
2011-08-15,1047
2011-09-15,1065
2011-10-15,1568
2011-11-15,1928
2011-12-15,1646
2012-01-15,2425
2012-02-15,2127
2012-03-15,2196
2012-04-15,1228
2012-05-15,2571
2012-06-15,1381
2012-07-15,2388
2012-08-15,1866
2012-09-15,2038
2012-10-15,2079
2012-11-15,2201
2012-12-15,2191
2013-01-15,3384
2013-02-15,3705
2013-03-15,3310
2013-04-15,4151
2013-05-15,4034
2013-06-15,3723
2013-07-15,3217
2013-08-15,2192
2013-09-15,3162
2013-10-15,3679
2013-11-15,7578
2013-12-15,6834
2014-01-15,7698
2014-02-15,6907
2014-03-15,7794
2014-04-15,8448
2014-05-15,9567
2014-06-15,11833
2014-07-15,13045
2014-08-15,12136
2014-09-15,10479
2014-10-15,11653
2014-11-15,15619
2014-12-15,13053
2015-01-15,15342
2015-02-15,12380
2015-03-15,13565
2015-04-15,17969
2015-05-15,16338
2015-06-15,13355
2015-07-15,16934
2015-08-15,14286
2015-09-15,12314
2015-10-15,15503
2015-11-15,9592
2015-12-15,12162
2016-01-15,15176
2016-02-15,13161
2016-03-15,18471
2016-04-15,18714
2016-05-15,24414
2016-06-15,15915
2016-07-15,16612
2016-08-15,22331
2016-09-15,23241
2016-10-15,15552
2016-11-15,18170
2016-12-15,14518
2017-01-15,22046
2017-02-15,32092
2017-03-15,28831
2017-04-15,33835
2017-05-15,34049
2017-06-15,25953
2017-07-15,29642
2017-08-15,25338
2017-09-15,43899
2017-10-15,53327
2017-11-15,46323
2017-12-15,47184
2018-01-15,41587
2018-02-15,44944
2018-03-15,51813
2018-04-15,52668
2018-05-15,62165
2018-06-15,66008
2018-07-15,66302
2018-08-15,54228
2018-09-15,63470
2018-10-15,72096
2018-11-15,78278
2018-12-15,77842
2019-01-15,79830
2019-02-15,83721
2019-03-15,83196
2019-04-15,85276
2019-05-15,89908
