Year,Combustion turbine,Conventional steam turbine,Internal combustion turbine,Nuclear steam turbine,Total electricity production from combustible fuels,Total thermal generation
2005,25892974,130320252,1301338,86829896,0,244344460
2006,25811955,118877657,3591329,92418514,0,240699455
2007,32237570,127778534,1498789,88190431,0,249705324
2008,30782510,117666179,1425052,90585015,0,240458756
2009,32728246,102607748,1570922,84991779,0,221898695
2010,38019362,103118558,1615274,85526588,0,228279782
2011,44283027,99411207,1609096,88291216,0,233594546
2012,45330296,89871261,1555195,89492389,0,226249141
2013,43756123,90388012,1645827,97584431,0,233374393
2014,0,0,0,101207807,134318871,235526678
2015,0,0,0,96045793,137524464,233570257
2016,0,0,0,95687312,136356480,232043792
2017,0,0,0,95565022,129194240,224759262
2018,0,0,0,95029596,127916909,222946505
2019,0,0,0,95469256,127263359,222732615
