Year,Hydraulic turbine,Solar,Tidal power turbine,Wind power turbine,Other types of electricity generation,Total renewable energy generation
2005,358446082,0,27643,1551780,0,360025505
2006,349468303,0,19144,2448335,0,351935782
2007,364055135,0,22524,2977206,0,367054865
2008,373822743,0,15018,3750629,0,377588390
2009,365110421,4502,29954,6575235,1918497,373638609
2010,347980845,115745,27680,8636950,2975953,359737173
2011,372076377,256935,26095,10086688,2509521,384955616
2012,376574355,315843,27128,11198373,2723937,390839636
2013,387980873,360478,14830,11033989,2441392,401831562
2014,378786255,325184,15483,12688899,2238903,394054724
2015,378481214,1426619,12820,26696727,139421,406756801
2016,381687991,1779083,18547,30623786,177803,414287210
2017,390751401,2001842,5957,31198479,202863,424160542
2018,382144912,2192046,19525,32813021,210747,417380251
2019,375982127,2195412,920,32333073,168289,410679821
