Date,Coal (mil kWh),Petroleum (mil kWh),Natural_Gas (mil kWh),Other_Gas (mil kWh),Conventional Hydroelectric Power (mil kWh),Total Oil (mil kWh)
2005-01-01,177013.907,12190.178,51337.627,1126.191,24272.165,265940.068
2005-02-01,155818.014,7314.51,44912.617,1076.0510000000002,21606.773999999998,230727.96600000001
2005-03-01,163612.7,8351.9,51896.973,1214.487,22936.068,248012.128
2005-04-01,143083.239,6952.153,52016.28599999999,1121.4589999999998,23058.359,226231.49599999998
2005-05-01,153957.962,6713.918000000001,54826.004,1191.303,27278.511000000002,243967.69800000003
2005-06-01,174866.997,10783.858999999999,75635.493,1149.14,26782.99,289218.479
2005-07-01,186090.75699999998,13033.243,96819.41,1160.882,25956.842,323061.13399999996
2005-08-01,187573.754,14527.518999999998,100786.65400000001,1171.8110000000001,21565.679,325625.417
2005-09-01,171656.215,12279.15,73355.483,1145.276,17363.683999999997,275799.808
2005-10-01,162436.793,10177.971,55940.880999999994,1080.067,18006.36,247642.072
2005-11-01,158797.527,6867.441999999999,49440.225999999995,965.19,19352.668,235423.053
2005-12-01,177965.18,13033.171999999999,53992.600999999995,1062.287,22141.157000000003,268194.397
2006-01-01,169236.081,6135.956999999999,43806.920999999995,1156.888,27436.656000000003,247772.50300000003
2006-02-01,158616.189,4923.427,47408.989,1113.774,24761.682999999997,236824.062
2006-03-01,161325.115,4013.4640000000004,54921.742,1233.513,24624.609,246118.443
2006-04-01,141426.234,4690.155,56090.856,1180.022,28555.682999999997,231942.94999999998
2006-05-01,157009.755,4419.887,65585.605,1295.444,30818.443,259129.13399999996
2006-06-01,169693.478,5766.446,81060.21,1167.067,29757.284,287444.48500000004
2006-07-01,187820.872,7002.078,108093.51400000001,1267.2839999999999,25439.392000000003,329623.14
2006-08-01,189454.93,8359.695,106591.666,1291.5919999999999,21728.354,327426.23699999996
2006-09-01,161590.354,4645.373,72673.348,1152.884,17201.461,257263.41999999998
2006-10-01,161389.659,4892.61,70640.039,1185.392,17055.177,255162.877
2006-11-01,159439.517,4746.863,53439.693,1064.601,20271.723,238962.397
2006-12-01,173508.951,4570.460999999999,56128.185999999994,1068.348,21595.951,256871.897
2007-01-01,175739.438,5994.168000000001,61474.532,1154.119,26044.711,270406.968
2007-02-01,163602.813,8883.674,57622.070999999996,981.405,18566.633,249656.596
2007-03-01,159811.074,5415.643,56203.820999999996,1233.891,24163.456000000002,246827.885
2007-04-01,146249.541,5080.29,60152.848,1163.0919999999999,23890.583,236536.354
2007-05-01,157513.281,4873.443,66469.701,1174.573,26046.976000000002,256077.974
2007-06-01,173512.884,5777.045,81511.451,1153.691,22816.607999999997,284771.679
2007-07-01,185053.788,5493.795,97482.67599999999,1154.127,22477.761000000002,311662.147
2007-08-01,190134.81600000002,7186.621,121338.427,1131.65,19940.551,339732.06500000006
2007-09-01,169391.27300000002,4935.786,88531.615,1119.735,14742.534,278720.94299999997
2007-10-01,162234.356,4746.874,78358.024,1133.549,14796.434,261269.23700000002
2007-11-01,159382.455,3136.467,60636.799000000006,1031.212,15682.053,239868.98599999998
2007-12-01,173829.866,4215.170999999999,66807.828,1022.31,18341.675,264216.85
2008-01-01,182875.504,4497.816,72599.901,1063.171,20779.131,281815.523
2008-02-01,166666.355,3669.344,60042.012,972.332,18788.886000000002,250138.929
2008-03-01,160743.24300000002,3151.5,62170.58,1049.452,21668.938,248783.71300000002
2008-04-01,146983.024,3400.4629999999997,63046.098,1021.23,22233.932,236684.747
2008-05-01,154915.90099999998,3397.928,62270.447,1043.991,27221.147,248849.41399999996
2008-06-01,171043.27899999998,4961.967000000001,84619.977,1132.1889999999999,29177.427000000003,290934.83900000004
2008-07-01,186733.456,4156.6,100320.87800000001,1174.4,25555.086,317940.42000000004
2008-08-01,180576.49300000002,3810.829,99673.493,1146.944,21229.277000000002,306437.036
2008-09-01,161356.34699999998,4170.995,79136.03,822.953,16178.192,261664.517
2008-10-01,151840.715,3286.13,73283.339,806.078,15469.942,244686.20400000003
2008-11-01,154281.198,3345.1609999999996,61454.199,720.951,15667.934,235469.443
2008-12-01,167785.73,4393.879,64363.64599999999,753.185,20861.491,258157.931
2009-01-01,171925.15,6103.606,66390.113,806.743,23490.296000000002,268715.908
2009-02-01,140915.785,3317.74,62138.852999999996,783.9789999999999,17812.032,224968.389
2009-03-01,135530.328,3349.302,68202.743,834.4739999999999,21827.453999999998,229744.301
2009-04-01,125934.97300000001,2806.6220000000003,61158.674000000006,757.875,25769.807,216427.95100000003
2009-05-01,131673.05800000002,3208.7070000000003,68145.647,772.676,29559.655,233359.74300000002
2009-06-01,148086.771,3243.032,84205.18199999999,875.7869999999999,29233.395,265644.167
2009-07-01,158233.869,3357.822,101893.83300000001,966.258,23384.748,287836.52999999997
2009-08-01,163260.483,3641.995,109239.554,1011.6460000000001,19580.417,296734.09500000003
2009-09-01,137144.64800000002,2853.031,92126.618,1022.27,17358.714,250505.28100000002
2009-10-01,139955.577,2560.113,72602.726,959.788,19691.068,235769.272
2009-11-01,136809.575,2072.284,63285.132000000005,910.432,21007.701,224085.12400000004
2009-12-01,166434.036,2422.261,71589.607,930.179,24729.807999999997,266105.891
2010-01-01,173320.16100000002,4348.2,74172.73599999999,909.3910000000001,22383.072,275133.56
2010-02-01,153044.159,2373.098,66198.08,825.1560000000001,20589.83,243030.32299999997
2010-03-01,144405.633,2470.212,63430.66,1009.675,20885.663,232201.843
2010-04-01,126951.885,2286.351,64644.025,942.625,19096.663,213921.549
2010-05-01,143272.494,2994.02,73665.438,1017.2139999999999,25079.217,246028.383
2010-06-01,165491.489,3989.252,92268.431,964.284,29853.827,292567.283
2010-07-01,179600.49899999998,4411.384,114624.20199999999,963.07,24516.761000000002,324115.91599999997
2010-08-01,177745.32,3575.462,121151.269,1060.9089999999999,20119.232,323652.192
2010-09-01,148745.672,2782.6820000000002,93004.177,953.692,17265.206000000002,262751.429
2010-10-01,132269.835,2227.5570000000002,77738.337,807.935,17682.976000000002,230726.63999999998
2010-11-01,135185.045,2079.442,69226.56,907.138,19561.55,226959.73500000002
2010-12-01,167258.086,3523.3540000000003,77573.32,951.698,23169.071,272475.52900000004
2011-01-01,170802.67899999997,3457.1079999999997,74254.334,929.788,25531.093999999997,274975.00299999997
2011-02-01,138311.157,2434.16,65923.983,807.475,24131.226000000002,231608.001
2011-03-01,134845.231,2692.4629999999997,65947.12,945.3439999999999,31134.471,235564.629
2011-04-01,124488.257,2423.777,70028.99900000001,917.5360000000001,31194.307,229052.876
2011-05-01,137101.565,2378.474,75242.797,874.6410000000001,32586.926,248184.40300000002
2011-06-01,158055.21300000002,2593.715,90691.112,1012.788,32151.214,284504.042
2011-07-01,176585.82,3154.067,119623.591,1098.0430000000001,31284.635,331746.156
2011-08-01,171280.53399999999,2594.3089999999997,119855.793,1087.147,25763.577999999998,320581.361
2011-09-01,140941.149,2423.86,91739.07,1004.4960000000001,21377.592,257486.16700000002
2011-10-01,126626.97300000001,2062.076,78819.207,941.066,19787.39,228236.712
2011-11-01,121462.711,1782.601,75441.298,942.8560000000001,20680.527,220309.993
2011-12-01,132928.716,2185.635,86121.62599999999,1005.0189999999999,23731.944,245972.93999999997
2012-01-01,129090.99,2477.158,90760.884,1016.5989999999999,23107.181,246452.812
2012-02-01,113872.04699999999,1901.745,90609.78199999999,1044.233,20283.421000000002,227711.22799999997
2012-03-01,105525.54699999999,1541.354,92250.653,1076.272,25908.537,226302.363
2012-04-01,96285.44099999999,1503.233,94828.59599999999,1057.215,26294.124,219968.60899999997
2012-05-01,115982.647,1729.816,107351.81199999999,1002.1360000000001,28642.515,254708.92599999998
2012-06-01,131261.036,2067.697,115597.50300000001,972.41,26658.751,276557.39700000006
2012-07-01,160450.263,2339.699,138862.85,1042.026,26491.28,329186.118
2012-08-01,152181.055,2117.982,131735.864,1049.94,23034.015,310118.85599999997
2012-09-01,125588.60800000001,1860.1970000000001,108012.30099999999,903.67,17603.73,253968.50600000002
2012-10-01,120999.339,1805.124,91725.371,894.9580000000001,16500.61,231925.402
2012-11-01,128727.06599999999,1809.861,80169.461,875.495,18732.352,230314.235
2012-12-01,134078.908,2035.674,83989.097,962.63,22983.707000000002,244050.016
2013-01-01,138104.821,2774.72,88559.05,1143.596,24828.528,255410.715
2013-02-01,123546.805,1997.086,80283.07400000001,968.2260000000001,20418.465,227213.656
2013-03-01,130633.56,1997.037,84725.259,1070.052,20534.358,238960.26600000003
2013-04-01,111834.683,1885.463,78036.432,1019.7260000000001,25097.105,217873.409
2013-05-01,119512.5,2411.5879999999997,83815.592,1087.94,28450.093999999997,235277.71399999998
2013-06-01,138283.216,2342.07,99615.064,1047.531,27384.067000000003,268671.948
2013-07-01,152866.853,2812.3059999999996,120770.981,1148.253,27254.572,304852.965
2013-08-01,149426.053,2448.499,121156.397,1143.066,21633.316000000003,295807.331
2013-09-01,133110.437,2186.1820000000002,102063.23300000001,1086.627,16961.152,255407.63100000002
2013-10-01,120996.39300000001,2018.4360000000001,88587.40199999999,1071.518,17198.593999999997,229872.343
2013-11-01,120939.73,1839.734,84286.785,1060.373,17676.834,225803.456
2013-12-01,141859.665,2451.324,92936.291,1006.028,21128.299,259381.607
2014-01-01,157097.369,7071.556,91060.93400000001,932.863,21633.795,277796.51700000005
2014-02-01,143294.487,2762.805,75942.314,817.2360000000001,17396.129,240212.97099999996
2014-03-01,136442.601,3187.887,78150.918,865.6,24257.129,242904.135
2014-04-01,109280.59199999999,1753.1970000000001,76781.879,854.188,25439.907000000003,214109.763
2014-05-01,118785.80099999999,2043.9589999999998,89119.677,944.3969999999999,26543.885,237437.71899999998
2014-06-01,137576.922,2020.594,98467.60800000001,968.675,25743.877999999997,264777.677
2014-07-01,149627.05800000002,2042.1429999999998,115081.27,1068.642,24357.402000000002,292176.515
2014-08-01,148451.62300000002,2050.3089999999997,122348.42300000001,1135.134,19807.247,293792.73600000003
2014-09-01,126110.385,1948.4660000000001,106581.586,1126.369,16074.327,251841.13299999997
2014-10-01,111295.95800000001,1517.731,97683.016,1082.258,17159.212,228738.17500000002
2014-11-01,119127.439,1738.049,84353.513,1073.455,18624.923,224917.379
2014-12-01,124620.116,2095.166,91037.82,1152.97,22328.789,241234.861
2015-01-01,132450.521,2972.967,101687.39300000001,1246.343,24138.384,262495.608
2015-02-01,126976.832,6320.621,91315.165,1024.98,22286.076,247923.67400000003
2015-03-01,108487.539,1778.491,99422.72,1090.601,24280.905,235060.256
2015-04-01,88989.14300000001,1727.682,92805.998,979.3330000000001,22470.977000000003,206973.13300000006
2015-05-01,104584.52699999999,1938.775,101516.355,1098.725,20125.416,229263.79799999998
2015-06-01,125673.114,1860.497,121477.74900000001,1117.609,20414.084,270543.053
2015-07-01,139099.869,2304.18,141119.081,1235.443,21014.221,304772.79400000005
2015-08-01,134670.309,2133.2070000000003,139083.75400000002,1195.578,19122.105,296204.953
2015-09-01,117985.632,2034.306,123035.92199999999,1210.12,16094.122,260360.10199999998
2015-10-01,96758.504,1771.192,110005.039,906.4780000000001,16630.402,226071.615
2015-11-01,87227.136,1709.888,102236.255,901.669,19337.831000000002,211412.779
2015-12-01,89495.073,1696.944,109776.679,1109.818,23165.562,225244.076
2016-01-01,113459.38,2361.453,110043.74699999999,1194.85,25614.542,252673.972
2016-02-01,92704.808,2209.303,98552.179,1061.558,24139.015,218666.863
2016-03-01,72172.527,1801.055,103889.93800000001,1197.353,27389.877,206450.75000000003
2016-04-01,72112.86200000001,1839.05,98875.94699999999,1132.001,25878.029,199837.889
2016-05-01,81694.51,1958.154,110430.192,1053.317,25486.381,220622.55399999997
2016-06-01,116034.384,1976.789,131395.229,1043.219,23236.867000000002,273686.488
2016-07-01,136316.434,2321.549,151553.872,1076.8519999999999,21455.321,312724.028
2016-08-01,135634.733,2335.4629999999997,154759.673,1063.922,19569.549,313363.34
2016-09-01,114137.76800000001,1926.135,125602.74,1020.329,16367.684,259054.65600000002
2016-10-01,99193.944,1571.3770000000002,102897.98599999999,913.2439999999999,17338.857,221915.40799999997
2016-11-01,86940.462,1869.0720000000001,93941.835,1013.326,18808.265,202572.96000000002
2016-12-01,118746.84199999999,2035.406,96363.59599999999,1037.462,22527.765,240711.071
2017-01-01,115332.808,2045.775,95572.229,1046.5639999999999,26627.881,240625.257
2017-02-01,86822.19,1591.8829999999998,82767.651,977.6439999999999,23881.765,196041.13299999997
2017-03-01,89364.62,1655.495,95073.662,1060.248,29613.195,216767.22
2017-04-01,81335.313,1290.6680000000001,88455.101,1001.36,29409.466,201491.908
2017-05-01,92776.541,1816.995,98019.311,1055.752,32607.115,226275.714
2017-06-01,107508.32199999999,1892.864,117235.701,992.9760000000001,30575.296000000002,258205.15899999999
2017-07-01,127697.82,1809.594,146929.439,1047.488,26598.247000000003,304082.588
2017-08-01,119488.385,1733.1070000000002,141201.138,1133.26,22033.856,285589.74600000004
2017-09-01,98202.046,1643.037,118035.852,1059.443,19151.755,238092.133
2017-10-01,89775.524,1545.345,106826.275,998.1669999999999,17698.179,216843.49
2017-11-01,90986.339,1669.858,94928.341,1001.041,19888.334,208473.913
2017-12-01,106545.367,2695.323,111397.79199999999,1095.024,22247.842,243981.348
2018-01-01,119284.115,6519.897,110292.909,1096.622,25064.077,262257.62
2018-02-01,82050.182,1557.624,98511.852,1092.121,24902.257999999998,208114.037
2018-03-01,80625.663,1471.84,106523.78,1158.37,25860.604,215640.25699999998
2018-04-01,73346.006,1538.279,98371.08,1098.511,28115.155,202469.031
2018-05-01,85227.3,1556.805,115283.98199999999,1167.264,30444.284,233679.635
2018-06-01,101503.427,1900.568,130826.4,1091.26,27597.487999999998,262919.143
2018-07-01,115376.37599999999,1901.0079999999998,164749.06,1171.62,25099.529,308297.593
2018-08-01,115129.45599999999,1926.7060000000001,161676.241,1301.002,22016.905,302050.30999999994
2018-09-01,96543.992,1854.029,141785.52800000002,1104.358,19165.621,260453.528
2018-10-01,87263.627,1576.7089999999998,123142.239,1016.002,19548.191000000003,232546.768
2018-11-01,92818.594,1661.1329999999998,108167.635,1045.119,21912.716,225605.197
2018-12-01,100318.6,1761.02,109801.976,1120.499,22797.161,235799.25600000002
2019-01-01,101007.931,2198.078,119306.715,1114.5230000000001,24209.767000000003,247837.01399999997
2019-02-01,80104.492,1552.487,111004.76400000001,1110.37,21826.166,215598.279
2019-03-01,78516.40400000001,1461.997,112945.07400000001,1250.899,25546.144,219720.51800000004
2019-04-01,60007.704000000005,1234.403,103005.959,1071.032,25483.404,190802.502
2019-05-01,71882.572,1689.977,116236.162,1101.396,30060.652000000002,220970.75900000002
2019-06-01,78609.515,1530.983,136993.984,1025.048,26468.797000000002,244628.327
2019-07-01,100981.204,1775.3410000000001,174340.987,1289.984,23729.755,302117.271
2019-08-01,94177.21800000001,1770.818,176457.797,1202.099,21041.242000000002,294649.174
2019-09-01,85918.411,1579.989,150752.719,1138.981,16323.716999999999,255713.817
2019-10-01,66828.543,1152.642,133667.036,997.29,16291.714,218937.22500000003
2019-11-01,75560.454,1249.9660000000001,117762.159,1196.105,20519.976000000002,216288.66
2019-12-01,72553.902,1370.231,129341.72,1136.387,22206.034,226608.27399999998
